word
i
and
the
to
a
you
it
my
so
of
but
im
that
is
for
in
like
was
have
on
this
3
its
me
just
with
do
be
not
if
at
we
are
can
about
up
know
what
out
good
or
all
one
your
how
dont
thats
yes
think
time
then
oh
as
lol
been
really
from
also
when
now
get
an
some
ive
did
because
she
more
super
they
thing
ill
omg
no
were
had
going
work
okay
he
want
her
go
feel
need
too
things
bc
make
there
see
got
would
wanna
will
am
way
maybe
still
them
day
doing
people
well
much
right
c
youre
home
very
has
p
should
by
something
today
hi
back
might
love
who
thank
which
into
our
new
first
next
fuck
best
here
v
id
before
lot
two
over
only
last
where
other
didnt
than
cute
little
gonna
free
could
same
week
down
off
take
say
mean
yay
xd
stuff
being
night
bit
cant
him
friend
again
said
someone
find
few
trying
never
tomorrow
their
both
hard
weird
wanted
better
through
until
let
look
photos
thought
his
any
come
sure
why
went
keep
theyre
while
tho
though
done
fucking
date
made
long
house
since
tell
pretty
person
myself
2
morning
hair
those
even
min
us
sent
beautiful
hey
getting
amazing
tonight
each
yea
played
around
real
try
cassie
most
shes
space
big
use
soon
idea
after
happy
always
place
partner
wait
yis
ah
bad
points
definitely
these
once
show
theres
fun
e
dis
fine
having
ago
ever
perf
evening
smol
shit
give
lololol
poly
actually
either
read
days
god
own
leave
ben
office
without
many
havent
feels
saw
put
help
post
send
hes
literally
excited
talk
feeling
making
told
doesnt
words
share
thinking
recently
1
half
every
yet
ask
three
between
call
city
5
art
phone
photo
life
aw
side
found
years
sunday
friends
head
used
may
whats
part
enough
lets
started
camp
brain
room
sorry
left
busy
end
t
working
yo
lil
hear
works
already
later
does
another
um
kinda
nice
likely
comfortable
bring
able
re
start
important
different
times
appreciate
coffee
year
nods
group
hope
s
food
anything
heh
set
drive
least
rn
seen
looking
small
10
bought
asked
yall
remember
6
4
weekend
tbh
tiny
totally
ready
100
makes
naow
text
looks
class
valid
mine
ð
stop
google
past
hour
far
lemme
face
purple
glad
great
talking
wont
lolol
yeh
cheese
coming
name
buy
saturday
point
together
almost
check
das
away
awesome
plans
everyone
d
cool
yesterday
rly
squee
event
whether
hours
sad
often
wednesday
hai
oooo
sounds
tea
close
neat
b
lovely
nyc
u
lady
plz
means
less
weeks
probably
word
monday
youd
quick
fair
learn
isnt
taking
called
came
wasnt
moment
sleep
blue
bus
instead
seeing
hang
friday
chat
happen
color
yep
nothing
second
story
tried
realized
felt
month
sometimes
forgot
knitting
met
ones
walk
using
believe
live
plan
conversation
job
birthday
favorite
game
list
wine
red
everything
r
early
dating
took
cat
worth
question
fack
company
seems
meet
stay
x
15
ó°
partners
watch
sometime
top
rl
level
lots
world
months
bunch
writing
course
def
play
thanks
funny
humans
20
full
water
needs
needed
message
o
unsure
minutes
high
low
party
anxiety
legit
figure
tuesday
imma
learning
fast
write
perfect
dat
facebook
bed
video
mind
such
steph
experience
says
heard
asking
yarn
run
project
late
mostly
hooman
north
hand
relationship
ooo
driving
four
particular
hold
agree
saying
song
thursday
pattern
light
internet
please
scene
rather
black
n
ideas
30
finish
others
whatever
whole
7
kind
interested
else
nah
code
sending
planning
couldnt
human
dates
book
kept
proud
guess
itll
happened
sick
watching
anyone
munch
except
sit
eek
mentioned
basically
healthy
true
bubble
gave
possible
playing
lolololol
near
nope
meeting
open
colors
change
roots
leaving
sweet
pick
size
personal
weve
man
social
y
needa
dead
type
yeah
tired
safe
heading
eee
wants
email
forever
drink
m
starting
nj
gets
guy
miss
board
machine
rough
trip
earlier
etc
nu
entire
line
pride
crazy
during
gone
neato
stopped
12
haha
page
meant
eeee
wonderful
holy
hm
em
lives
decided
btw
tldr
pure
knew
future
asl
understand
team
sharing
fb
old
rainbow
posted
number
youve
mrow
white
link
key
welcome
trash
wear
arent
looked
333
clean
poke
car
9
rest
along
order
hurt
self
short
helpful
mental
8
sense
heavy
gift
walking
w
